"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 06, 2022","58,444.25","60,029.41","60,425.33","58,145.00","0.05K","-2.45%"
"Apr 05, 2022","59,909.50","61,813.31","62,145.29","59,831.27","0.11K","-3.08%"
"Apr 04, 2022","61,813.31","62,144.13","62,144.13","59,967.68","0.04K","-0.53%"
"Apr 03, 2022","62,144.13","61,419.99","63,388.87","61,089.99","0.03K","1.18%"
"Apr 02, 2022","61,419.99","61,877.53","62,868.54","61,181.42","0.03K","-0.74%"
"Apr 01, 2022","61,877.53","60,865.40","62,311.47","59,153.94","0.05K","1.66%"
"Mar 31, 2022","60,865.40","62,839.49","63,530.68","60,500.00","0.06K","-3.14%"
"Mar 30, 2022","62,839.49","63,197.95","63,597.94","62,073.00","0.04K","-0.57%"
"Mar 29, 2022","63,197.95","62,875.03","64,299.96","62,480.72","0.08K","0.51%"
"Mar 28, 2022","62,875.03","62,206.70","64,489.93","62,030.02","0.08K","1.07%"
"Mar 27, 2022","62,206.70","59,302.08","62,471.21","59,154.14","0.05K","4.90%"
"Mar 26, 2022","59,302.08","58,974.99","59,695.00","58,704.40","0.03K","0.55%"
"Mar 25, 2022","58,974.99","58,589.19","60,000.00","58,260.00","0.04K","0.66%"
"Mar 24, 2022","58,589.19","57,170.01","58,860.58","57,000.00","0.05K","2.48%"
"Mar 23, 2022","57,170.01","56,779.99","57,372.23","56,000.00","0.03K","0.69%"
"Mar 22, 2022","56,779.99","55,630.86","58,668.09","55,400.00","0.05K","2.07%"
"Mar 21, 2022","55,630.86","55,555.05","56,221.12","54,687.10","0.03K","0.14%"
"Mar 20, 2022","55,555.05","56,949.50","57,155.58","55,245.73","0.05K","-2.45%"
"Mar 19, 2022","56,949.50","56,450.17","57,119.98","55,844.02","0.03K","0.88%"
"Mar 18, 2022","56,450.17","55,484.75","57,010.00","54,500.00","0.03K","1.74%"
"Mar 17, 2022","55,484.75","56,414.72","56,659.79","55,000.00","0.05K","-1.65%"
"Mar 16, 2022","56,414.72","54,420.28","57,627.92","53,938.87","0.14K","3.66%"
"Mar 15, 2022","54,420.28","55,153.54","55,295.43","52,942.00","0.15K","-1.33%"
"Mar 14, 2022","55,153.54","51,855.40","55,409.99","51,644.10","0.07K","6.36%"
"Mar 13, 2022","51,855.40","53,420.51","54,151.19","51,645.00","0.12K","-2.93%"
"Mar 12, 2022","53,420.51","53,208.67","54,091.50","53,090.00","0.01K","0.40%"
"Mar 11, 2022","53,208.67","53,660.99","55,000.00","52,039.38","0.06K","-0.84%"
"Mar 10, 2022","53,660.99","57,364.61","57,499.51","52,548.59","0.05K","-6.46%"
"Mar 09, 2022","57,364.61","53,284.99","58,119.99","53,109.99","0.06K","7.66%"
"Mar 08, 2022","53,284.99","51,915.00","54,065.00","51,676.38","0.05K","2.64%"
"Mar 07, 2022","51,915.00","52,039.75","53,950.46","50,726.36","0.08K","-0.24%"
"Mar 06, 2022","52,039.75","53,640.00","54,092.10","51,755.20","0.08K","-2.98%"
"Mar 05, 2022","53,640.00","53,133.38","53,975.39","52,410.84","0.03K","0.95%"
"Mar 04, 2022","53,133.38","57,801.39","57,929.89","52,399.77","0.07K","-8.08%"
"Mar 03, 2022","57,801.39","60,190.00","60,445.50","57,095.03","0.11K","-3.97%"
"Mar 02, 2022","60,190.00","61,259.99","62,100.00","59,409.99","0.23K","-1.75%"
"Mar 01, 2022","61,259.99","59,659.86","61,894.88","59,074.41","0.06K","2.68%"
"Feb 28, 2022","59,659.86","52,550.00","60,888.00","52,165.00","0.10K","13.53%"
"Feb 27, 2022","52,550.00","54,039.89","55,188.94","51,669.00","0.04K","-2.76%"
"Feb 26, 2022","54,039.89","54,199.26","55,685.00","53,445.27","0.02K","-0.29%"
"Feb 25, 2022","54,199.26","53,419.98","54,937.54","52,885.33","0.10K","1.46%"
"Feb 24, 2022","53,419.98","51,574.98","55,808.16","47,753.55","0.17K","3.58%"
"Feb 23, 2022","51,574.98","53,093.35","54,000.00","51,355.09","0.06K","-2.86%"
"Feb 22, 2022","53,093.35","51,643.00","53,196.45","50,678.00","0.05K","2.81%"
"Feb 21, 2022","51,643.00","53,509.99","54,813.02","51,310.00","0.06K","-3.49%"
"Feb 20, 2022","53,509.99","55,915.01","56,137.81","53,045.00","0.06K","-4.30%"
"Feb 19, 2022","55,915.01","55,884.33","56,502.60","55,239.91","0.02K","0.05%"
"Feb 18, 2022","55,884.33","56,400.00","57,101.68","55,199.69","0.06K","-0.91%"
"Feb 17, 2022","56,400.00","61,019.99","61,528.32","55,925.05","0.07K","-7.57%"
"Feb 16, 2022","61,019.99","62,446.49","62,446.49","60,540.00","0.07K","-2.28%"
"Feb 15, 2022","62,446.49","59,632.53","62,592.38","59,456.10","0.10K","4.72%"
"Feb 14, 2022","59,632.53","58,912.17","60,220.00","58,300.00","0.04K","1.22%"
"Feb 13, 2022","58,912.17","59,299.65","59,953.11","58,779.98","0.03K","-0.65%"
"Feb 12, 2022","59,299.65","59,370.56","60,468.11","58,745.01","0.03K","-0.12%"
"Feb 11, 2022","59,370.56","60,707.85","61,482.01","59,000.00","0.05K","-2.20%"
"Feb 10, 2022","60,707.85","61,960.01","63,482.75","60,630.14","0.07K","-2.02%"
"Feb 09, 2022","61,960.01","61,835.00","62,663.00","60,437.91","0.05K","0.20%"
"Feb 08, 2022","61,835.00","61,707.44","64,039.93","60,000.00","0.09K","0.21%"
"Feb 07, 2022","61,707.44","59,975.80","62,983.23","58,990.34","0.11K","2.89%"
"Feb 06, 2022","59,975.80","58,794.99","60,299.99","58,400.00","0.05K","2.01%"
"Feb 05, 2022","58,794.99","58,693.60","64,646.00","58,149.85","0.08K","0.17%"
"Feb 04, 2022","58,693.60","52,279.61","58,763.35","51,989.96","0.07K","12.27%"
"Feb 03, 2022","52,279.61","51,900.30","52,354.76","51,011.00","0.06K","0.73%"
"Feb 02, 2022","51,900.30","54,300.00","54,655.08","51,439.98","0.05K","-4.42%"
"Feb 01, 2022","54,300.00","54,450.01","55,300.00","53,745.39","0.06K","-0.28%"
"Jan 31, 2022","54,450.01","54,231.12","54,938.11","52,378.69","0.08K","0.40%"
"Jan 30, 2022","54,231.12","54,784.85","55,090.90","53,710.07","0.04K","-1.01%"
