"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 06, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Apr 05, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Apr 04, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Apr 03, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Apr 02, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Apr 01, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 31, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 30, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 29, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 28, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 27, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 26, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 25, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 24, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 23, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 22, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 21, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 20, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 19, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 18, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 17, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 16, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 15, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 14, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 13, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 12, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 11, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 10, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 09, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 08, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 07, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 06, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 05, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 04, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 03, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 02, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Mar 01, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 28, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 27, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 26, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 25, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 24, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 23, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 22, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 21, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 20, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 19, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 18, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 17, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 16, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 15, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 14, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 13, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 12, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 11, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 10, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 09, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 08, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 07, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 06, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 05, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 04, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 03, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 02, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Feb 01, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 31, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 30, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 29, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 28, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 27, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 26, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 25, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 24, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 23, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 22, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 21, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 20, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 19, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 18, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
