Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.962068,0.977815,0.838536,0.962487,0.962487,0
2021-01-04,0.981860,0.988440,0.981150,0.981700,0.981700,0
2021-01-05,0.987360,0.988200,0.978700,0.987380,0.987380,0
2021-01-06,0.977510,0.979610,0.971630,0.977500,0.977500,0
2021-01-07,0.971070,0.976300,0.971070,0.970990,0.970990,0
2021-01-08,0.971730,0.973450,0.969290,0.971830,0.971830,0
2021-01-11,0.974290,0.978790,0.973740,0.975230,0.975230,0
2021-01-12,0.975250,0.977100,0.972910,0.975220,0.975220,0
2021-01-13,0.972050,0.975740,0.971600,0.971970,0.971970,0
2021-01-14,0.973630,0.974190,0.969080,0.973659,0.973659,0
2021-01-15,0.971070,0.978002,0.969720,0.971030,0.971030,0
2021-01-18,0.976990,0.978800,0.975620,0.976630,0.976630,0
2021-01-19,0.977760,0.977760,0.973730,0.977780,0.977780,0
2021-01-20,0.976230,0.977740,0.972660,0.976360,0.976360,0
2021-01-21,0.973220,0.974600,0.971174,0.973010,0.973010,0
2021-01-22,0.974100,0.977530,0.973000,0.974140,0.974140,0
2021-01-25,0.975740,0.978650,0.973870,0.975740,0.975740,0
2021-01-26,0.976570,0.980220,0.973650,0.976190,0.976190,0
2021-01-27,0.973440,0.981790,0.973070,0.973580,0.973580,0
2021-01-28,0.982250,0.987650,0.979960,0.982500,0.982500,0
2021-01-29,0.980720,0.984170,0.978610,0.980950,0.980950,0
2021-02-01,0.986199,0.986300,0.981600,0.986470,0.986470,0
2021-02-02,0.983310,0.990660,0.981120,0.983240,0.983240,0
2021-02-03,0.986680,0.987400,0.983620,0.986720,0.986720,0
2021-02-04,0.982890,0.984570,0.980940,0.983230,0.983230,0
2021-02-05,0.984050,0.984797,0.978040,0.983900,0.983900,0
2021-02-08,0.976570,0.978010,0.972690,0.976400,0.976400,0
2021-02-09,0.973510,0.976323,0.972340,0.973380,0.973380,0
2021-02-10,0.974340,0.976340,0.973470,0.974350,0.974350,0
2021-02-11,0.975800,0.976810,0.971940,0.975810,0.975810,0
2021-02-12,0.973870,0.975620,0.972590,0.973830,0.973830,0
2021-02-15,0.971890,0.973100,0.970125,0.971920,0.971920,0
2021-02-16,0.971160,0.972770,0.968970,0.971040,0.971040,0
2021-02-17,0.972550,0.972980,0.969320,0.972430,0.972430,0
2021-02-18,0.970760,0.972540,0.967910,0.970620,0.970620,0
